ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
12,A*,C3,H2,50,863,1400,20
12,A*,C4,H1,59,9192,14180,20
12,A*,C4,H2,59,1884,2947,20
13,Gulosa,C1,H1,84,159,275,42
13,Gulosa,C2,H1,103,159,275,42
13,Gulosa,C3,H1,107,159,275,42
13,Gulosa,C4,H1,125,159,275,42
13,Gulosa,C1,H2,90,137,233,45
13,Gulosa,C2,H2,112,137,233,45
13,Gulosa,C3,H2,113,137,233,45
13,Gulosa,C4,H2,129,137,233,45
13,A*,C1,H1,42,7404,11616,21
13,A*,C1,H2,42,941,1534,21
13,A*,C2,H1,51,8420,13573,21
13,A*,C2,H2,51,1445,2367,21
13,A*,C3,H1,54,14557,22763,21
13,A*,C3,H2,54,2573,4133,21
13,A*,C4,H1,65,22133,32744,21
13,A*,C4,H2,65,5299,8251,21
14,Gulosa,C1,H1,78,253,435,39
14,Gulosa,C2,H1,99,253,435,39
14,Gulosa,C3,H1,96,253,435,39
14,Gulosa,C4,H1,116,253,435,39
14,Gulosa,C1,H2,82,125,226,41
14,Gulosa,C2,H2,101,125,226,41
14,Gulosa,C3,H2,104,125,226,41
14,Gulosa,C4,H2,121,125,226,41
14,A*,C1,H1,36,1820,2977,18
14,A*,C1,H2,36,295,478,18
14,A*,C2,H1,44,2422,3814,18
14,A*,C2,H2,44,529,837,18
14,A*,C3,H1,46,3465,5414,18
14,A*,C3,H2,46,709,1136,18
14,A*,C4,H1,54,4452,6986,18
14,A*,C4,H2,54,1186,1892,18
15,Gulosa,C1,H1,72,644,1072,36
15,Gulosa,C2,H1,88,644,1072,36
15,Gulosa,C3,H1,92,644,1072,36
15,Gulosa,C4,H1,106,644,1072,36
15,Gulosa,C1,H2,60,223,380,30
15,Gulosa,C2,H2,72,223,380,30
15,Gulosa,C3,H2,78,223,380,30
15,Gulosa,C4,H2,87,223,380,30
15,A*,C1,H1,26,219,364,13
15,A*,C1,H2,26,57,99,13
15,A*,C2,H1,31,232,392,13
15,A*,C2,H2,31,76,136,13
15,A*,C3,H1,34,419,673,13
15,A*,C3,H2,34,120,199,13
15,A*,C4,H1,38,388,626,13
15,A*,C4,H2,38,143,233,13
16,Gulosa,C1,H1,66,142,247,33
16,Gulosa,C2,H1,81,142,247,33
16,Gulosa,C3,H1,84,142,247,33
16,Gulosa,C4,H1,95,142,247,33
16,Gulosa,C1,H2,42,41,75,21
16,Gulosa,C2,H2,51,41,75,21
16,Gulosa,C3,H2,54,41,75,21
16,Gulosa,C4,H2,62,41,75,21
16,A*,C1,H1,30,486,786,15
16,A*,C1,H2,30,123,204,15
16,A*,C2,H1,37,717,1133,15
16,A*,C2,H2,37,196,309,15
16,A*,C3,H1,38,786,1240,15
16,A*,C3,H2,38,205,331,15
16,A*,C4,H1,41,588,937,15
16,A*,C4,H2,41,185,297,15
17,Gulosa,C1,H1,128,630,1038,64
17,Gulosa,C2,H1,160,630,1038,64
17,Gulosa,C3,H1,160,630,1038,64
17,Gulosa,C4,H1,187,630,1038,64
17,Gulosa,C1,H2,106,210,357,53
17,Gulosa,C2,H2,131,210,357,53
17,Gulosa,C3,H2,134,210,357,53
17,Gulosa,C4,H2,159,210,357,53
17,A*,C1,H1,40,4508,7141,20
17,A*,C1,H2,40,607,966,20
17,A*,C2,H1,48,4904,7552,20
17,A*,C2,H2,48,824,1274,20
17,A*,C3,H1,52,9905,15009,20
17,A*,C3,H2,52,1662,2586,20
17,A*,C4,H1,58,8134,12530,20
17,A*,C4,H2,58,1888,2913,20
18,Gulosa,C1,H1,150,493,854,75
18,Gulosa,C2,H1,187,493,854,75
18,Gulosa,C3,H1,188,493,854,75
18,Gulosa,C4,H1,217,493,854,75
18,Gulosa,C1,H2,58,47,80,29
18,Gulosa,C2,H2,72,47,80,29
18,Gulosa,C3,H2,73,47,80,29
18,Gulosa,C4,H2,88,47,80,29
