ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
1,Gulosa,C1,H1,20,81,142,10
1,Gulosa,C2,H1,25,81,142,10
1,Gulosa,C3,H1,25,81,142,10
1,Gulosa,C4,H1,30,81,142,10
1,Gulosa,C1,H2,46,63,113,23
1,Gulosa,C2,H2,58,63,113,23
1,Gulosa,C3,H2,57,63,113,23
1,Gulosa,C4,H2,66,63,113,23
1,A*,C1,H1,16,20,36,8
1,A*,C1,H2,16,13,24,8
1,A*,C2,H1,19,25,42,8
1,A*,C2,H2,19,13,24,8
1,A*,C3,H1,21,35,57,8
1,A*,C3,H2,21,19,32,8
1,A*,C4,H1,22,33,56,8
1,A*,C4,H2,22,19,33,8
2,Gulosa,C1,H1,42,186,328,21
2,Gulosa,C2,H1,51,186,328,21
2,Gulosa,C3,H1,54,186,328,21
2,Gulosa,C4,H1,61,186,328,21
2,Gulosa,C1,H2,42,65,117,21
2,Gulosa,C2,H2,51,65,117,21
2,Gulosa,C3,H2,54,65,117,21
2,Gulosa,C4,H2,61,65,117,21
2,A*,C1,H1,32,829,1338,16
2,A*,C1,H2,32,235,387,16
2,A*,C2,H1,40,1206,1945,16
2,A*,C2,H2,40,387,617,16
2,A*,C3,H1,40,1200,1931,16
2,A*,C3,H2,40,377,607,16
2,A*,C4,H1,47,1554,2505,16
2,A*,C4,H2,47,573,916,16
3,Gulosa,C1,H1,90,550,951,45
3,Gulosa,C2,H1,112,550,951,45
3,Gulosa,C3,H1,113,550,951,45
3,Gulosa,C4,H1,132,550,951,45
3,Gulosa,C1,H2,48,159,275,24
3,Gulosa,C2,H2,60,159,275,24
3,Gulosa,C3,H2,60,159,275,24
3,Gulosa,C4,H2,72,159,275,24
3,A*,C1,H1,26,266,432,13
3,A*,C1,H2,26,70,120,13
3,A*,C2,H1,32,333,559,13
3,A*,C2,H2,32,125,219,13
3,A*,C3,H1,33,406,666,13
3,A*,C3,H2,33,143,240,13
3,A*,C4,H1,37,458,741,13
3,A*,C4,H2,37,179,290,13
4,Gulosa,C1,H1,88,498,820,44
4,Gulosa,C2,H1,107,498,820,44
4,Gulosa,C3,H1,113,498,820,44
4,Gulosa,C4,H1,130,498,820,44
4,Gulosa,C1,H2,134,421,703,67
4,Gulosa,C2,H2,162,421,703,67
4,Gulosa,C3,H2,173,421,703,67
4,Gulosa,C4,H2,201,421,703,67
4,A*,C1,H1,36,2320,3723,18
4,A*,C1,H2,36,368,601,18
4,A*,C2,H1,45,3607,5663,18
4,A*,C2,H2,45,755,1196,18
4,A*,C3,H1,45,3522,5553,18
4,A*,C3,H2,45,699,1102,18
4,A*,C4,H1,57,10057,15465,18
4,A*,C4,H2,57,2608,4077,18
5,Gulosa,C1,H1,138,458,798,69
5,Gulosa,C2,H1,171,458,798,69
5,Gulosa,C3,H1,174,458,798,69
5,Gulosa,C4,H1,200,458,798,69
5,Gulosa,C1,H2,46,62,113,23
5,Gulosa,C2,H2,58,62,113,23
5,Gulosa,C3,H2,57,62,113,23
5,Gulosa,C4,H2,72,62,113,23
5,A*,C1,H1,36,1905,3070,18
5,A*,C1,H2,36,141,238,18
5,A*,C2,H1,45,3124,4878,18
5,A*,C2,H2,45,437,678,18
5,A*,C3,H1,45,2842,4626,18
5,A*,C3,H2,45,403,655,18
5,A*,C4,H1,55,5373,8353,18
5,A*,C4,H2,55,1072,1672,18
6,Gulosa,C1,H1,74,147,260,37
6,Gulosa,C2,H1,89,147,260,37
6,Gulosa,C3,H1,96,147,260,37
6,Gulosa,C4,H1,107,147,260,37
6,Gulosa,C1,H2,40,31,53,20
6,Gulosa,C2,H2,48,31,53,20
6,Gulosa,C3,H2,52,31,53,20
6,Gulosa,C4,H2,56,31,53,20
6,A*,C1,H1,34,1029,1635,17
6,A*,C1,H2,34,98,172,17
6,A*,C2,H1,41,1184,1947,17
6,A*,C2,H2,41,181,314,17
6,A*,C3,H1,42,1434,2262,17
6,A*,C3,H2,42,202,325,17
6,A*,C4,H1,50,2184,3457,17
6,A*,C4,H2,50,448,722,17
7,Gulosa,C1,H1,90,294,495,45
7,Gulosa,C2,H1,113,294,495,45
7,Gulosa,C3,H1,112,294,495,45
7,Gulosa,C4,H1,134,294,495,45
7,Gulosa,C1,H2,100,136,235,50
7,Gulosa,C2,H2,122,136,235,50
7,Gulosa,C3,H2,128,136,235,50
7,Gulosa,C4,H2,147,136,235,50
7,A*,C1,H1,42,6468,10157,21
7,A*,C1,H2,42,512,807,21
7,A*,C2,H1,52,9497,14415,21
7,A*,C2,H2,52,1271,1970,21
7,A*,C3,H1,53,10681,16845,21
7,A*,C3,H2,53,1390,2264,21
7,A*,C4,H1,62,14104,21255,21
7,A*,C4,H2,62,2631,4123,21
8,Gulosa,C1,H1,104,378,656,52
8,Gulosa,C2,H1,132,378,656,52
8,Gulosa,C3,H1,128,378,656,52
8,Gulosa,C4,H1,153,378,656,52
8,Gulosa,C1,H2,60,65,115,30
8,Gulosa,C2,H2,76,65,115,30
8,Gulosa,C3,H2,74,65,115,30
8,Gulosa,C4,H2,88,65,115,30
8,A*,C1,H1,36,1930,3108,18
8,A*,C1,H2,36,375,606,18
8,A*,C2,H1,44,2469,3844,18
8,A*,C2,H2,44,545,848,18
8,A*,C3,H1,46,3521,5482,18
8,A*,C3,H2,46,765,1218,18
8,A*,C4,H1,51,2770,4410,18
8,A*,C4,H2,51,752,1190,18
9,Gulosa,C1,H1,76,494,811,38
9,Gulosa,C2,H1,92,494,811,38
9,Gulosa,C3,H1,98,494,811,38
9,Gulosa,C4,H1,113,494,811,38
9,Gulosa,C1,H2,134,397,664,67
9,Gulosa,C2,H2,163,397,664,67
9,Gulosa,C3,H2,172,397,664,67
9,Gulosa,C4,H2,203,397,664,67
9,A*,C1,H1,24,130,220,12
9,A*,C1,H2,24,37,66,12
9,A*,C2,H1,29,152,268,12
9,A*,C2,H2,29,49,85,12
9,A*,C3,H1,31,210,365,12
9,A*,C3,H2,31,77,127,12
9,A*,C4,H1,35,208,344,12
9,A*,C4,H2,35,85,141,12
10,Gulosa,C1,H1,82,517,852,41
10,Gulosa,C2,H1,100,517,852,41
10,Gulosa,C3,H1,105,517,852,41
10,Gulosa,C4,H1,124,517,852,41
10,Gulosa,C1,H2,84,215,367,42
10,Gulosa,C2,H2,103,215,367,42
10,Gulosa,C3,H2,107,215,367,42
10,Gulosa,C4,H2,127,215,367,42
10,A*,C1,H1,36,2163,3500,18
10,A*,C1,H2,36,402,671,18
10,A*,C2,H1,44,2725,4288,18
10,A*,C2,H2,44,636,1003,18
10,A*,C3,H1,46,3798,6189,18
10,A*,C3,H2,46,856,1409,18
10,A*,C4,H1,52,3640,5751,18
10,A*,C4,H2,52,990,1589,18
11,Gulosa,C1,H1,74,212,362,37
11,Gulosa,C2,H1,94,212,362,37
11,Gulosa,C3,H1,91,212,362,37
11,Gulosa,C4,H1,115,212,362,37
11,Gulosa,C1,H2,84,215,370,42
11,Gulosa,C2,H2,102,215,370,42
11,Gulosa,C3,H2,108,215,370,42
11,Gulosa,C4,H2,120,215,370,42
11,A*,C1,H1,40,3935,6256,20
11,A*,C1,H2,40,245,396,20
11,A*,C2,H1,48,4407,6819,20
11,A*,C2,H2,48,442,692,20
11,A*,C3,H1,52,9087,13841,20
11,A*,C3,H2,52,1003,1585,20
11,A*,C4,H1,56,5506,8514,20
11,A*,C4,H2,56,848,1353,20
12,Gulosa,C1,H1,108,302,527,54
12,Gulosa,C2,H1,134,302,527,54
12,Gulosa,C3,H1,136,302,527,54
12,Gulosa,C4,H1,160,302,527,54
12,Gulosa,C1,H2,138,314,535,69
12,Gulosa,C2,H2,169,314,535,69
12,Gulosa,C3,H2,176,314,535,69
12,Gulosa,C4,H2,208,314,535,69
12,A*,C1,H1,40,4165,6685,20
12,A*,C1,H2,40,435,694,20
12,A*,C2,H1,50,6770,10414,20
12,A*,C2,H2,50,1040,1611,20
12,A*,C3,H1,50,6574,10166,20
